"","Date","diff","Team","Rk"
"447",2010-01-28,-2,"Orlando Magic",4
"448",2010-01-29,-9,"Atlanta Hawks",10
"449",2010-01-31,-1,"Los Angeles Lakers",3
"450",2010-02-01,11,"Washington Wizards",28
"451",2010-02-03,5,"Miami Heat",14
"452",2010-02-05,9,"New Jersey Nets",22
"453",2010-02-07,-7,"Orlando Magic",4
"454",2010-02-10,-8,"New Orleans Hornets",13
"455",2010-02-16,3,"Sacramento Kings",29
"456",2010-02-18,1,"Los Angeles Lakers",3
"457",2010-02-19,20,"Portland Trail Blazers",5
"458",2010-02-21,-9,"Denver Nuggets",8
"459",2010-02-23,4,"New York Knicks",21
"460",2010-02-25,-20,"Cleveland Cavaliers",1
"461",2010-02-27,-8,"New Jersey Nets",22
"462",2010-03-02,5,"Detroit Pistons",17
"463",2010-03-03,24,"Charlotte Bobcats",20
"464",2010-03-05,10,"Philadelphia 76ers",15
"465",2010-03-07,3,"Washington Wizards",28
"466",2010-03-09,-2,"Milwaukee Bucks",19
"467",2010-03-10,-20,"Memphis Grizzlies",26
"468",2010-03-12,19,"Indiana Pacers",18
"469",2010-03-14,-11,"Cleveland Cavaliers",1
"470",2010-03-15,26,"Detroit Pistons",17
"471",2010-03-17,12,"New York Knicks",21
"472",2010-03-19,7,"Houston Rockets",6
"473",2010-03-20,9,"Dallas Mavericks",11
"474",2010-03-22,-13,"Utah Jazz",9
"475",2010-03-24,14,"Denver Nuggets",8
"476",2010-03-26,8,"Sacramento Kings",29
"477",2010-03-28,-21,"San Antonio Spurs",7
"478",2010-03-31,-5,"Oklahoma City Thunder",27
"479",2010-04-02,-5,"Houston Rockets",6
"480",2010-04-04,4,"Cleveland Cavaliers",1
"481",2010-04-06,-3,"New York Knicks",21
"482",2010-04-07,11,"Toronto Raptors",23
"483",2010-04-09,-10,"Washington Wizards",28
"484",2010-04-10,15,"Milwaukee Bucks",19
"485",2010-04-13,-8,"Chicago Bulls",16
"486",2010-04-14,-11,"Milwaukee Bucks",19
"487",2010-10-26,8,"Miami Heat",13
"488",2010-10-27,-8,"Cleveland Cavaliers",2
"489",2010-10-29,4,"New York Knicks",23
"490",2010-11-02,23,"Detroit Pistons",27
"491",2010-11-03,3,"Milwaukee Bucks",14
"492",2010-11-05,5,"Chicago Bulls",19
"493",2010-11-07,9,"Oklahoma City Thunder",9
"494",2010-11-08,-2,"Dallas Mavericks",12
"495",2010-11-11,5,"Miami Heat",13
"496",2010-11-13,6,"Memphis Grizzlies",17
"497",2010-11-17,31,"Washington Wizards",26
"498",2010-11-19,-5,"Oklahoma City Thunder",9
"499",2010-11-21,-1,"Toronto Raptors",18
"500",2010-11-22,23,"Atlanta Hawks",7
"501",2010-11-24,6,"New Jersey Nets",30
"502",2010-11-26,9,"Toronto Raptors",18
"503",2010-11-30,19,"Cleveland Cavaliers",2
"504",2010-12-01,4,"Portland Trail Blazers",10
"505",2010-12-03,12,"Chicago Bulls",19
"506",2010-12-05,25,"New Jersey Nets",30
"507",2010-12-08,16,"Denver Nuggets",8
"508",2010-12-09,1,"Philadelphia 76ers",25
"509",2010-12-11,31,"Charlotte Bobcats",15
"510",2010-12-15,2,"New York Knicks",23
"511",2010-12-16,12,"Atlanta Hawks",7
"512",2010-12-19,11,"Indiana Pacers",21
"513",2010-12-22,4,"Philadelphia 76ers",25
"514",2010-12-25,-8,"Orlando Magic",1
"515",2010-12-28,12,"Indiana Pacers",21
"516",2010-12-29,-12,"Detroit Pistons",27
"517",2010-12-31,-2,"New Orleans Hornets",20
"518",2011-01-02,14,"Toronto Raptors",18
"519",2011-01-03,3,"Minnesota Timberwolves",29
"520",2011-01-05,2,"San Antonio Spurs",4
"521",2011-01-07,20,"Toronto Raptors",18
"522",2011-01-08,-11,"Chicago Bulls",19
"523",2011-01-10,-6,"Houston Rockets",16
"524",2011-01-12,24,"Sacramento Kings",24
"525",2011-01-14,5,"Charlotte Bobcats",15
"526",2011-01-17,3,"Orlando Magic",1
"527",2011-01-19,4,"Detroit Pistons",27
