"","game.id","Date","team","div","conf","status","pts","diff","def.rank"
"260",130,"Fri, Nov 14, 2014","Milwaukee Bucks","Atlantic Division","East","v","85","-16","29"
"261",131,"Fri, Nov 14, 2014","Phoenix Suns","Southeast Division","West","h","95","-8","11"
"262",131,"Fri, Nov 14, 2014","Charlotte Hornets","Atlantic Division","East","v","103","8","17"
"263",132,"Sat, Nov 15, 2014","Chicago Bulls","Central Division","East","h","90","-9","14"
"264",132,"Sat, Nov 15, 2014","Indiana Pacers","Atlantic Division","East","v","99","9","8"
"265",133,"Sat, Nov 15, 2014","Cleveland Cavaliers","Southeast Division","East","h","127","33","23"
"266",133,"Sat, Nov 15, 2014","Atlanta Hawks","Atlantic Division","East","v","94","-33","16"
"267",134,"Sat, Nov 15, 2014","Dallas Mavericks","Southwest Division","West","h","131","14","9"
"268",134,"Sat, Nov 15, 2014","Minnesota Timberwolves","Atlantic Division","East","v","117","-14","10"
"269",135,"Sat, Nov 15, 2014","Golden State Warriors","Southeast Division","West","h","112","25","4"
"270",135,"Sat, Nov 15, 2014","Charlotte Hornets","Atlantic Division","East","v","87","-25","17"
"271",136,"Sat, Nov 15, 2014","Los Angeles Clippers","Pacific Division","West","h","120","13","2"
"272",136,"Sat, Nov 15, 2014","Phoenix Suns","Atlantic Division","East","v","107","-13","11"
"273",137,"Sat, Nov 15, 2014","Memphis Grizzlies","Central Division","West","h","95","7","13"
"274",137,"Sat, Nov 15, 2014","Detroit Pistons","Atlantic Division","East","v","88","-7","24"
"275",138,"Sat, Nov 15, 2014","Portland Trail Blazers","Atlantic Division","West","h","97","10","7"
"276",138,"Sat, Nov 15, 2014","Brooklyn Nets","Atlantic Division","East","v","87","-10","20"
"277",139,"Sat, Nov 15, 2014","Sacramento Kings","Southwest Division","West","h","94","3","22"
"278",139,"Sat, Nov 15, 2014","San Antonio Spurs","Atlantic Division","East","v","91","-3","1"
"279",140,"Sat, Nov 15, 2014","Toronto Raptors","Northwest Division","East","h","111","18","12"
"280",140,"Sat, Nov 15, 2014","Utah Jazz","Atlantic Division","East","v","93","-18","28"
"281",141,"Sat, Nov 15, 2014","Washington Wizards","Southeast Division","East","h","98","5","15"
"282",141,"Sat, Nov 15, 2014","Orlando Magic","Atlantic Division","East","v","93","-5","27"
"283",142,"Sun, Nov 16, 2014","Los Angeles Lakers","Pacific Division","West","h","115","-21","25"
"284",142,"Sun, Nov 16, 2014","Golden State Warriors","Atlantic Division","East","v","136","21","4"
"285",143,"Sun, Nov 16, 2014","Miami Heat","Central Division","East","h","84","-7","6"
